seed,configuration,ablated,convergence_threshold,situations_scored,U_enabled,S_enabled,A_enabled,P_enabled,abstention_rate,appropriate_abstention_rate,inappropriate_abstention_rate,premature_convergence_rate,correct_conclusion_rate,false_conclusion_rate,single_iteration_conclusion_rate,mean_iterations_to_termination,iteration_records,max_convergence,mean_convergence,analyses_terminated,convergence_fraction,termination_reasons
1024,UA,UA,0.8,66,False,True,False,True,0.0,0.0,0.0,0.697,0.0303,0.9697,0.0,3,2889,0.6,0.3384,963,0.0,"{""max_iterations"": 963}"
42,UP,UP,0.3,66,False,True,True,False,0.0,0.0,0.0,0.9091,0.0303,0.9697,0.1061,2.7273,1394,0.5826,0.2975,963,0.8847,"{""max_iterations"": 111, ""converged"": 852}"
123,UP,UP,0.3,66,False,True,True,False,0.0,0.0,0.0,0.8939,0.0303,0.9697,0.0909,2.7576,1371,0.6,0.3017,963,0.8951,"{""max_iterations"": 101, ""converged"": 862}"
456,UP,UP,0.3,66,False,True,True,False,0.0,0.0,0.0,0.9091,0.0303,0.9697,0.0758,2.803,1382,0.5917,0.3033,963,0.8858,"{""max_iterations"": 110, ""converged"": 853}"
789,UP,UP,0.3,66,False,True,True,False,0.0,0.0,0.0,0.9091,0.0455,0.9545,0.1061,2.7121,1379,0.6,0.3038,963,0.8962,"{""converged"": 863, ""max_iterations"": 100}"
1024,UP,UP,0.3,66,False,True,True,False,0.0,0.0,0.0,0.9091,0.0303,0.9697,0.1212,2.6667,1362,0.6,0.3031,963,0.892,"{""max_iterations"": 104, ""converged"": 859}"
42,UP,UP,0.5,66,False,True,True,False,0.0,0.0,0.0,0.697,0.0303,0.9697,0.0,3,2723,0.5826,0.3263,963,0.189,"{""max_iterations"": 781, ""converged"": 182}"
123,UP,UP,0.5,66,False,True,True,False,0.0,0.0,0.0,0.697,0.0455,0.9545,0.0,3,2711,0.6015,0.3294,963,0.188,"{""max_iterations"": 782, ""converged"": 181}"
456,UP,UP,0.5,66,False,True,True,False,0.0,0.0,0.0,0.697,0.0303,0.9697,0.0,3,2716,0.5917,0.3261,963,0.1817,"{""max_iterations"": 788, ""converged"": 175}"
789,UP,UP,0.5,66,False,True,True,False,0.0,0.0,0.0,0.697,0.0455,0.9545,0.0,3,2706,0.6,0.3279,963,0.1983,"{""max_iterations"": 772, ""converged"": 191}"
1024,UP,UP,0.5,66,False,True,True,False,0.0,0.0,0.0,0.697,0.0303,0.9697,0.0,3,2712,0.6,0.33,963,0.19,"{""max_iterations"": 780, ""converged"": 183}"
42,UP,UP,0.8,66,False,True,True,False,0.0,0.0,0.0,0.697,0.0606,0.9394,0.0,3,2889,0.6,0.3317,963,0.0,"{""max_iterations"": 963}"
123,UP,UP,0.8,66,False,True,True,False,0.0,0.0,0.0,0.697,0.0303,0.9697,0.0,3,2889,0.65,0.3351,963,0.0,"{""max_iterations"": 963}"
456,UP,UP,0.8,66,False,True,True,False,0.0,0.0,0.0,0.697,0.0303,0.9697,0.0,3,2889,0.5917,0.3317,963,0.0,"{""max_iterations"": 963}"
789,UP,UP,0.8,66,False,True,True,False,0.0,0.0,0.0,0.697,0.0455,0.9545,0.0,3,2889,0.65,0.3342,963,0.0,"{""max_iterations"": 963}"
1024,UP,UP,0.8,66,False,True,True,False,0.0,0.0,0.0,0.697,0.0303,0.9697,0.0,3,2889,0.6,0.3357,963,0.0,"{""max_iterations"": 963}"
42,SA,SA,0.3,66,True,False,False,True,0.0,0.0,0.0,0.697,0.0455,0.9545,0.0,3,2889,0.29,0.1665,963,0.0,"{""max_iterations"": 963}"
123,SA,SA,0.3,66,True,False,False,True,0.0152,0.0217,0.0,0.6818,0.0606,0.9394,0.0,3,2889,0.29,0.1703,963,0.0,"{""max_iterations"": 963}"
456,SA,SA,0.3,66,True,False,False,True,0.0,0.0,0.0,0.697,0.0455,0.9545,0.0,3,2889,0.29,0.1677,963,0.0,"{""max_iterations"": 963}"
789,SA,SA,0.3,66,True,False,False,True,0.0152,0.0217,0.0,0.6818,0.0758,0.9242,0.0,3,2889,0.29,0.1675,963,0.0,"{""max_iterations"": 963}"
1024,SA,SA,0.3,66,True,False,False,True,0.0152,0.0217,0.0,0.6818,0.0758,0.9242,0.0,3,2889,0.29,0.1681,963,0.0,"{""max_iterations"": 963}"
42,SA,SA,0.5,66,True,False,False,True,0.0,0.0,0.0,0.697,0.0455,0.9545,0.0,3,2889,0.4,0.169,963,0.0,"{""max_iterations"": 963}"
123,SA,SA,0.5,66,True,False,False,True,0.0152,0.0217,0.0,0.6818,0.0606,0.9394,0.0,3,2889,0.45,0.1729,963,0.0,"{""max_iterations"": 963}"
456,SA,SA,0.5,66,True,False,False,True,0.0,0.0,0.0,0.697,0.0455,0.9545,0.0,3,2889,0.45,0.1704,963,0.0,"{""max_iterations"": 963}"
789,SA,SA,0.5,66,True,False,False,True,0.0152,0.0217,0.0,0.6818,0.0758,0.9242,0.0,3,2889,0.45,0.17,963,0.0,"{""max_iterations"": 963}"
1024,SA,SA,0.5,66,True,False,False,True,0.0152,0.0217,0.0,0.6818,0.0758,0.9242,0.0,3,2889,0.45,0.1709,963,0.0,"{""max_iterations"": 963}"
42,SA,SA,0.8,66,True,False,False,True,0.0,0.0,0.0,0.697,0.0455,0.9545,0.0,3,2889,0.4,0.169,963,0.0,"{""max_iterations"": 963}"
123,SA,SA,0.8,66,True,False,False,True,0.0152,0.0217,0.0,0.6818,0.0606,0.9394,0.0,3,2889,0.45,0.1729,963,0.0,"{""max_iterations"": 963}"
456,SA,SA,0.8,66,True,False,False,True,0.0,0.0,0.0,0.697,0.0455,0.9545,0.0,3,2889,0.45,0.1704,963,0.0,"{""max_iterations"": 963}"
789,SA,SA,0.8,66,True,False,False,True,0.0152,0.0217,0.0,0.6818,0.0758,0.9242,0.0,3,2889,0.45,0.17,963,0.0,"{""max_iterations"": 963}"
1024,SA,SA,0.8,66,True,False,False,True,0.0152,0.0217,0.0,0.6818,0.0758,0.9242,0.0,3,2889,0.45,0.1709,963,0.0,"{""max_iterations"": 963}"
42,SP,SP,0.3,66,True,False,True,False,0.0152,0.0217,0.0,0.6818,0.0303,0.9697,0.0,3,2648,0.4,0.1602,963,0.2212,"{""max_iterations"": 750, ""converged"": 213}"
123,SP,SP,0.3,66,True,False,True,False,0.0303,0.0435,0.0,0.6667,0.0606,0.9394,0.0,3,2642,0.4,0.1639,963,0.2295,"{""max_iterations"": 742, ""converged"": 221}"
456,SP,SP,0.3,66,True,False,True,False,0.0303,0.0435,0.0,0.6667,0.0758,0.9242,0.0,3,2625,0.4,0.1603,963,0.2264,"{""max_iterations"": 745, ""converged"": 218}"
789,SP,SP,0.3,66,True,False,True,False,0.0152,0.0217,0.0,0.6818,0.0758,0.9242,0.0,3,2650,0.45,0.1614,963,0.2233,"{""max_iterations"": 748, ""converged"": 215}"
1024,SP,SP,0.3,66,True,False,True,False,0.0152,0.0217,0.0,0.6818,0.0758,0.9242,0.0,3,2633,0.4,0.1607,963,0.2368,"{""max_iterations"": 735, ""converged"": 228}"
42,SP,SP,0.5,66,True,False,True,False,0.0152,0.0217,0.0,0.6818,0.0606,0.9394,0.0,3,2889,0.4,0.1685,963,0.0,"{""max_iterations"": 963}"
123,SP,SP,0.5,66,True,False,True,False,0.0303,0.0435,0.0,0.6667,0.0758,0.9242,0.0,3,2889,0.45,0.1726,963,0.0,"{""max_iterations"": 963}"
456,SP,SP,0.5,66,True,False,True,False,0.0303,0.0435,0.0,0.6667,0.0758,0.9242,0.0,3,2889,0.45,0.1695,963,0.0,"{""max_iterations"": 963}"
789,SP,SP,0.5,66,True,False,True,False,0.0152,0.0217,0.0,0.6818,0.0758,0.9242,0.0,3,2889,0.45,0.1694,963,0.0,"{""max_iterations"": 963}"
1024,SP,SP,0.5,66,True,False,True,False,0.0152,0.0217,0.0,0.6818,0.0758,0.9242,0.0,3,2889,0.45,0.1702,963,0.0,"{""max_iterations"": 963}"
42,SP,SP,0.8,66,True,False,True,False,0.0152,0.0217,0.0,0.6818,0.0606,0.9394,0.0,3,2889,0.4,0.1685,963,0.0,"{""max_iterations"": 963}"
123,SP,SP,0.8,66,True,False,True,False,0.0303,0.0435,0.0,0.6667,0.0758,0.9242,0.0,3,2889,0.45,0.1726,963,0.0,"{""max_iterations"": 963}"
456,SP,SP,0.8,66,True,False,True,False,0.0303,0.0435,0.0,0.6667,0.0758,0.9242,0.0,3,2889,0.45,0.1695,963,0.0,"{""max_iterations"": 963}"
789,SP,SP,0.8,66,True,False,True,False,0.0152,0.0217,0.0,0.6818,0.0758,0.9242,0.0,3,2889,0.45,0.1694,963,0.0,"{""max_iterations"": 963}"
